CdUF;CdMun;UF;MUNICIPIO;Populacao;Despesas por Função;Legislativa;Ação Legislativa;Controle Externo;Demais Subfunções  1;Judiciária;Ação Judiciária;Defesa do Interesse Público;Demais Subfunções 2;Essencial à Justiça;Defesa da Ordem Jurídica;Representação Juridica;Demais Subfunções 3;Administração;Planejamento e Orçamento;Administração Geral;Administração Financeira;Controle Interno;Normatização e Fiscalização;Tecnologia da Informação;Ordenamento Territorial;Formação de Recursos Humanos;Administração de Receitas;Administração de Concessões;Comunicação Social;Demais Subfunções 4;Defesa Nacional;Defesa Aérea;Defesa Naval;Defesa Terrestre;Demais Subfunções 5;Segurança Pública;Policiamento;Defesa Civil;Informação e Inteligência;Demais Subfunções 6;Relações Exteriores;Relações Diplomáticas;Cooperação Internacional;Demais Subfunções 7;Assistência Social;Assistência ao Idoso;Assistência ao Deficiência;Assistência à Criança;Assistência Comunitária;Demais Subfunções 8;Previdência Social;Previdência Básica;Previdência do Regime Estatutário;Previdência Complementar;Previdência Especial;Demais Subfunções 9;Saúde;Atenção Básica;Assistência Hospitalar;Suporte Profilático;Vigilância Sanitária;Vigilância Epidemiológica;Alimentação e Nutrição;Demais Subfunções 10;Trabalho;Proteção ao Trabalhador;Relações de Trabalho;Empregabilidade;Fomento ao Trabalho;Demais Subfunções 11;Educação;Ensino Fundamental;Ensino Médio;Ensino Profissional;Ensino Superior;Educação Infantil;Educação de Jovens e Adultos;Educação Especial;Demais Subfunções 12;Cultura;Patrimônio Cultural;Difusão Cultural;Demais Subfunções 13;Direitos da Cidadania;Custódia e Reintegração Social;Direitos Humanos;Assistência Povos Indígenas;Demais Subfunções 14;Urbanismo;Infra-Estrutura Urbana;Serviços Urbanos;Transportes Coletivos Urbanos;Demais Subfunções 15;Habitação;Habitação Rural;Habitação Urbana;Demais Subfunções 16;Saneamento;Saneamento Básico Rural;Saneamento Básico Urbano;Demais Subfunções 17;Gestão Ambiental;Preservação Ambiental;Controle Ambiental;Recuperação Areas Degradadas;Recursos Hídricos;Meteorologia;Demais Subfunções 18;Ciência e Tecnologia;Desenvolvimento Científico;Desenvolvimento Tecnológico;Difusão do Conhecimento Científico;Demais Subfunções 19;Agricultura;Promoção da Produção Vegetal;Promoção da Produção Animal;Defesa Sanitária Vegetal;Defesa Sanitária Animal;Abastecimento;Extensão Rural;Irrigação;Demais Subfunções 20;Organização Agrária;Reforma Agrária;Colonização;Demais Subfunções 21;Indústria;Promoção Industrial;Produção Industrial;Mineração;Propriedade Industrial;Normalização e Qualidade;Demais Subfunções 22;Comércio e Serviços;Promoção Comercial;Comercialização;Comércio Exterior;Serviços Financeiros;Turismo;Demais Subfunções 23;Comunicações;Comunicações Postais;Telecomunicações;Demais Subfunções 24;Energia;Conservação de Energia;Energia Elétrica;Petróleo;Álcool;Demais Subfunções 25;Transporte;Transporte Aéreo;Transporte Rodoviário;Transporte Ferroviário;Transporte Hidroviário;Transportes Especiais;Demais Subfunções 26;Desporto e Lazer;Desporto de Rendimento;Desporto Comunitário;Lazer;Demais Subfunções 27;Encargos Especiais;Refinanciamento da Dívida Interna;Refinanciamento da Dívida Externa;Serviço da Dívida Interna;Serviço da Dívida Externa;Transferências;Outros Encargos Especiais;Demais Subfunções 28;Desp por Função Intra-Orçamentária;Total Geral da Despesa por Função
41;2855;PR;Vera Cruz do Oeste;8921;14847882,72;0;0;0;0;0;0;0;0;0;0;0;0;1869690,95;0;1527941,05;341749,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;743168,21;0;3882;176511,82;432676,04;130098,35;0;0;0;0;0;0;3240925,11;2616788,17;599149,09;0;24192,85;795;0;0;0;0;0;0;0;0;3482391,75;3416979,95;0;0;0;65411,8;0;0;0;37435,76;0;37435,76;0;0;0;0;0;0;1728977,69;558125,06;1170852,63;0;0;0;0;0;0;0;0;0;0;103845,01;103845,01;0;0;0;0;0;0;0;0;0;0;1149526,42;0;64092,57;0;0;0;1085433,85;0;0;0;0;0;0;179116,75;0;179116,75;0;0;0;0;322272,69;231343,79;0;0;0;90928,9;0;0;0;0;0;0;0;0;0;0;0;925158,86;0;925158,86;0;0;0;0;249866,98;20468,1;229398,88;0;0;815506,54;0;0;0;0;0;815506,54;0;0;14847882,72
41;2860;PR;Verê;7814;14307338,27;0;0;0;0;0;0;0;0;0;0;0;0;1796176,05;0;1644415,18;151760,87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;503380,77;10800;0;93732,45;398848,32;0;50243,29;50243,29;0;0;0;0;3129625,56;2909197,15;206161,2;0;0;14267,21;0;0;0;0;0;0;0;0;2941973,85;2735912,19;0;0;0;174387,56;0;31674,1;0;56028,89;0;56028,89;0;0;0;0;0;0;1324504,61;266754,18;1057750,43;0;0;0;0;0;0;0;0;0;0;27133,89;27133,89;0;0;0;0;0;0;0;0;0;0;1078165,91;0;0;0;0;0;1078165,91;0;0;0;0;0;0;283060,39;283060,39;0;0;0;0;0;86788,81;0;0;0;0;86788,81;0;0;0;0;0;0;0;0;0;0;0;2469050,74;0;2469050,74;0;0;0;0;99071,45;0;99071,45;0;0;462134,06;0;0;324578,62;0;0;137555,44;0;0;14307338,27
41;2865;PR;Virmond;3951;10081896,39;0;0;0;0;0;0;0;0;0;0;0;0;2013367,28;0;2013367,28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;329145,43;0;0;0;329145,43;0;0;0;0;0;0;0;2137199,94;2137199,94;0;0;0;0;0;0;0;0;0;0;0;0;2088610,69;2088610,69;0;0;0;0;0;0;0;130129,54;0;130129,54;0;0;0;0;0;0;2574464,32;0;2574464,32;0;0;0;0;0;0;4870;0;4870;0;0;0;0;0;0;0;0;0;0;0;0;0;736139,55;0;0;0;0;0;736139,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67969,64;0;67969,64;0;0;0;0;0;0;0;0;0;0;0;10081896,39
41;2870;PR;Vitorino;6531;13309950,87;515448,97;515448,97;0;0;0;0;0;0;0;0;0;0;1872784,4;0;1076954,76;795829,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;246124,43;0;0;95499,36;150625,07;0;0;0;0;0;0;0;2489953,55;2469951,74;0;0;0;0;0;20001,81;0;0;0;0;0;0;3358511,98;2000173,43;0;0;0;1358338,55;0;0;0;166130,84;0;166130,84;0;0;0;0;0;0;1447643,9;1447643,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;628502,85;0;0;0;0;628502,85;0;0;0;0;0;0;0;158868,29;158868,29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1842649,65;0;1842649,65;0;0;0;0;32036,77;0;0;32036,77;0;551295,24;0;0;413374,16;0;0;137921,08;0;0;13309950,87
41;2850;PR;Wenceslau Braz;19278;24036629,5;0;0;0;0;0;0;0;0;0;0;0;0;2885300,87;0;2504478,23;380822,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;981730,46;0;0;266046,29;715684,17;0;0;0;0;0;0;0;5152437,2;5142849,04;0;0;9588,16;0;0;0;0;0;0;0;0;0;6381972,56;3526773,64;0;0;0;2464574,6;0;0;390624,32;137221,29;0;137221,29;0;0;0;0;0;0;3536235,3;1842231,93;1694003,37;0;0;97755,85;0;97755,85;0;0;0;0;0;149408,3;0;149408,3;0;0;0;0;0;0;0;0;0;1415906;0;0;0;0;0;1415906;0;0;0;0;0;0;151095,76;151095,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2087543,7;0;2087543,7;0;0;0;0;212649,81;0;212649,81;0;0;847372,4;0;0;847372,4;0;0;0;0;651695,17;24688324,67
41;2880;PR;Xambrê;5975;10235741,96;500965,73;500965,73;0;0;99756,01;99756,01;0;0;0;0;0;0;1828030,69;0;1608214,15;106742,23;0;0;0;0;0;113074,31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;267120,95;0;0;122677,27;144443,68;0;0;0;0;0;0;0;2841492,4;2683587,37;0;0;150679,38;7225,65;0;0;0;0;0;0;0;0;2342222,06;2329722,06;0;0;0;0;0;12500;0;17011,68;0;17011,68;0;0;0;0;0;0;855285,03;855285,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;133027,6;0;0;0;0;0;133027,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;726086,2;0;726086,2;0;0;0;0;0;0;0;0;0;624743,61;0;0;624743,61;0;0;0;0;0;10235741,96
33;10;RJ;Angra dos Reis;173370;719580791,6;27599881,1;27599881,1;0;0;0;0;0;0;0;0;0;0;183692545;0;155985589,4;0;0;0;1517873,79;0;0;0;0;0;26189081,74;0;0;0;0;0;6341524,58;0;6326624,58;0;14900;0;0;0;0;12702532,67;219952,16;35253,38;991775,22;9986301,91;1469250;4368824,38;0;4368824,38;0;0;0;199604874;169465568,5;30139185,85;0;0;0;0;119,59;20400;20400;0;0;0;0;144736703,9;134889052,7;0;834337,58;1218002,98;4656399,69;1725038,55;1324714,83;89157,63;7501524,32;108459,28;7393065,04;0;0;0;0;0;0;96493684,28;34725380,22;61448206,76;0;320097,3;482973,33;0;482973,33;0;5934889,52;0;3728126,6;2206762,92;289192,79;289192,79;0;0;0;0;0;0;0;0;0;0;1151494,72;30032,72;558380,76;0;12190;0;550891,24;0;0;0;0;0;0;0;0;0;0;0;0;0;2407541,05;299962;0;0;0;2107579,05;0;0;0;0;0;5435328,88;3149185,7;2286143,18;0;0;0;9765005,15;0;9765005,15;0;0;0;0;1929357,82;0;691820,84;1237536,98;0;9122514,21;0;0;9122514,21;0;0;0;0;0;719580791,6
33;15;RJ;Aperibé;10382;32631005,47;1161247,2;1161247,2;0;0;0;0;0;0;0;0;0;0;8303602,17;0;6927141,43;1371370,74;630;4460;0;0;0;0;0;0;0;0;0;0;0;0;15600;15600;0;0;0;0;0;0;0;1448061,34;0;0;26496,28;1421565,06;0;1389220,98;0;812486,8;0;0;576734,18;7579822,2;3940572,44;3639183,76;66;0;0;0;0;0;0;0;0;0;0;8498128;5887186,88;0;0;280106,75;0;0;0;2330834,37;416563,27;0;411924,99;4638,28;0;0;0;0;0;1476084,65;559755,33;916329,32;0;0;0;0;0;0;247715,42;0;247715,42;0;28873,95;28873,95;0;0;0;0;0;0;0;0;0;0;1108289,24;0;0;0;0;0;1108289,24;0;0;0;0;0;0;17459,58;17459,58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;881143,77;0;881143,77;0;0;0;0;59193,7;0;0;0;59193,7;0;0;0;0;0;0;0;0;0;32631005,47
33;22;RJ;Areal;11540;33892534,81;1175220,59;1175220,59;0;0;0;0;0;0;0;0;0;0;8118614,93;0;7413882,62;270239,2;165457,28;0;0;0;2452,24;500;0;44901,85;221181,74;36593;0;0;0;36593;1500000;0;1500000;0;0;0;0;0;0;1143390,46;36211,27;0;154560,3;458545,61;494073,28;1026766,63;0;842625,17;0;0;184141,46;8257768,01;382699,48;2149161,42;5865;65377,01;21244,47;0;5633420,63;78986,6;0;0;0;0;78986,6;9888561,03;7265781,38;0;0;430682,56;1101762,77;64728,14;96984,27;928621,91;283131,68;134776,52;148355,16;0;0;0;0;0;0;759153,36;759153,36;0;0;0;0;0;0;0;268134,39;0;13541,03;254593,36;664163,52;0;1908;7500;0;0;654755,52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14450;0;0;0;0;14450;0;33082,09;0;33082,09;0;591384,92;0;591384,92;0;0;0;0;0;0;0;0;0;0;53133,6;0;53133,6;0;0;0;0;0;0;0;0;0;0;2387211,95;36279746,76
33;23;RJ;Armação dos Búzios;28279;157193677,4;4513670,67;4513670,67;0;0;0;0;0;0;0;0;0;0;32828730,42;278865,59;30752448,67;5000;44950,15;9187,8;146636,85;0;1104217,85;3146,28;0;351324;132953,23;0;0;0;0;0;183251,12;0;75491,3;9255,05;98504,77;0;0;0;0;897340,98;10640;66822;9757,5;810121,48;0;0;0;0;0;0;0;46280612,79;4716947,38;34889849,99;53955;83010,86;65024,73;0;6471824,83;464415,89;0;0;464415,89;0;0;40703523,06;31207725,87;1724217,88;0;372200;548812,27;18570;30250,01;6801747,03;815113,78;36887;278971;499255,78;0;0;0;0;0;23976319,86;10904653,46;12871111,18;0;200555,22;0;0;0;0;319860,32;0;319860,32;0;357150,93;44800;0;0;0;0;312350,93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1896086,71;0;0;0;0;1695409,99;200676,72;0;0;0;0;0;0;0;0;0;0;734663,71;0;0;0;0;0;734663,71;986294,32;193257,35;700725,84;23136;69175,13;2236642,88;0;0;0;0;0;2236642,88;0;0;157193677,4
